asn,country,organization,user_agent
0,XX,unknown,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 Flyriverbot/1.1 (+https://www.flyriver.com/crawler; AI Content Source Check)"
0,XX,unknown,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
0,XX,unknown,qoopbot/1.0 (http://www.qoop.it/)
0,XX,unknown,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.4 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.4 facebookexternalhit/1.1 Facebot Twitterbot/1.0"
00000000,XX,unknown,Googlebot-News
00000000,XX,unknown,msnbot-media/1.1 ( http://search.msn.com/msnbot.htm)
00000000,XX,unknown,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
00000000,XX,unknown,TurnitinBot (https://turnitin.com/robot/crawlerinfo.html)
00000000,XX,unknown,Mozilla/5.0 (iPhone; U; CPU iPhone OS) (compatible; Googlebot-Mobile/2.1;  http://www.google.com/bot.html)
00000000,XX,unknown,Mozilla/5.0 (compatible; archive.org_bot; Wayback Machine Live Record; +http://archive.org/details/archive.org_bot)
00000000,XX,unknown,DoCoMo/2.0 N905i(c100;TB;W24H16) (compatible; Googlebot-Mobile/2.1;  http://www.google.com/bot.html)
00000000,XX,unknown,AdsBot-Google ( http://www.google.com/adsbot.html)
00000000,XX,unknown,Facebot
00000000,XX,unknown,Googlebot/2.1 ( http://www.googlebot.com/bot.html)
00000000,XX,unknown,Gaisbot/3.0 (robot@gais.cs.ccu.edu.tw; http://gais.cs.ccu.edu.tw/robot.php)
00000000,XX,unknown,Mozilla/5.0 (compatible; YandexNews/4.0; +http://yandex.com/bots)
00000000,XX,unknown,Twitterbot/1.0
00000000,XX,unknown,msnbot/1.1 ( http://search.msn.com/msnbot.htm)
00000000,XX,unknown,cc_bot
00000000,XX,unknown,Googlebot-Image/1.0
00000000,XX,unknown,msnbot/0.11 ( http://search.msn.com/msnbot.htm)
00000000,XX,unknown,msnbot/1.0 ( http://search.msn.com/msnbot.htm)
00000000,XX,unknown,Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
00000000,XX,unknown,Mozilla/5.0 (compatible; bingbot/2.0  http://www.bing.com/bingbot.htm)
00000000,XX,unknown,Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)
11320,US,LightEdge Solutions,msnbot-media/1.1 ( http://search.msn.com/msnbot.htm)
