ip,ip_numeric,ip_version,asn,user_agent_id,url
100.24.149.244,1679332852,4,14618,6088,/informativa-cookie
100.24.149.244,1679332852,4,14618,6088,/informativa-cookie/
100.24.149.244,1679332852,4,14618,6088,/offerte/panasonic-tv-uhd
100.24.167.60,1679337276,4,14618,6088,/power-bank-solare-X-DRAGON-25000mAh-amazon
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/akismet/_inc/akismet-frontend.js?ver=1749668038
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.0.6
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.0.6
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/cookie-law-info/legacy/public/js/cookie-law-info-public.js?ver=3.2.10
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/fancy-box/jquery.easing.js?ver=1.3
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/fancy-box/jquery.fancybox.js?ver=1.2.6
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/super-socializer/js/front/facebook/sdk.js?ver=7.14.3
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/super-socializer/js/front/sharing/sharing.js?ver=7.14.3
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/super-socializer/js/front/social_login/general.js?ver=7.14.3
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/table-of-contents-plus/front.min.js?ver=2411.1
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/yet-another-stars-rating/includes/js/shortcodes/overall-multiset.js?ver=3.4.15
100.24.37.192,1679304128,4,14618,386,/wp-content/plugins/yet-another-stars-rating/includes/js/yasr-globals.js?ver=3.4.15
100.24.37.192,1679304128,4,14618,386,/wp-content/themes/rethink/js/custom.js?ver=6.8.3
100.24.37.192,1679304128,4,14618,386,/wp-content/themes/rethink/js/mobile-menu.js?ver=6.8.3
100.24.37.192,1679304128,4,14618,386,/wp-content/themes/rethink/js/superfish.js?ver=6.8.3
100.25.120.246,1679390966,4,14618,6088,/search/venezia/page/8
100.25.42.116,1679370868,4,14618,4047,/wp-content/plugins/akismet/_inc/akismet-frontend.js?ver=1748098810
100.25.42.116,1679370868,4,14618,4047,/wp-content/plugins/akismet/_inc/akismet-frontend.js?ver=1748105831
100.25.42.116,1679370868,4,14618,4047,/wp-content/plugins/super-progressive-web-apps/public/js/register-sw.js?ver=2.2.37
100.25.42.116,1679370868,4,14618,4047,/wp-content/plugins/super-socializer/js/front/combined.js?ver=7.14.3
100.25.42.116,1679370868,4,14618,4047,/wp-content/plugins/table-of-contents-plus/front.min.js?ver=2411.1
100.25.42.116,1679370868,4,14618,4047,/wp-content/themes/twentytwentyfive/assets/fonts/manrope/Manrope-VariableFont_wght.woff2
100.26.45.66,1679437122,4,14618,4047,/wp-content/cache/minify/1615d.js
100.26.45.66,1679437122,4,14618,4047,/wp-content/cache/minify/64f55.js
100.26.45.66,1679437122,4,14618,4047,/wp-content/cache/minify/818c0.js
100.26.45.66,1679437122,4,14618,4047,/wp-content/cache/minify/c6c19.js
100.26.45.66,1679437122,4,14618,4047,/wp-content/cache/minify/ce0cd.js
100.26.45.66,1679437122,4,14618,4047,/wp-content/plugins/akismet/_inc/akismet-frontend.js?ver=1748098810
100.26.45.66,1679437122,4,14618,4047,/wp-content/themes/twentytwentyfive/assets/fonts/manrope/Manrope-VariableFont_wght.woff2
100.27.254.99,1679556195,4,14618,14754,/.git/config
100.28.118.16,1679586832,4,14618,6088,/informativa-cookie/
100.28.118.16,1679586832,4,14618,6088,/offerte/samsung-tv-3d
100.28.133.214,1679590870,4,14618,6088,/wp-content/uploads/2019/09/Manuale-Nikon-D3500.pdf
100.28.204.82,1679608914,4,14618,6088,/offerte/huawei-ascend-g6-4g-garanzia-italia
100.28.204.82,1679608914,4,14618,6088,/power-bank-BINKE-26800mAh-amazon
100.28.44.58,1679567930,4,14618,6088,/wp-content/uploads/photo-gallery/magic-mike-xxl/thumb/
100.28.49.152,1679569304,4,14618,6088,/wp-content/uploads/2019/10/fac-simile-disdetta-polizza-luce-ok.pdf
100.28.57.133,1679571333,4,14618,6088,/wp-content/uploads/rank-math/rank_math_d8597cc5308ba7100072e41ac2b642a4.xml
100.29.155.89,1679661913,4,14618,6088,/wp-content/uploads/2016/12/
100.29.160.53,1679663157,4,14618,6088,/wp-content/uploads/2018/04/
100.29.164.178,1679664306,4,14618,6088,/wp-content/uploads/2023/11/
100.29.63.24,1679638296,4,14618,6088,/go/offerte-peschici
100.29.63.24,1679638296,4,14618,6088,/wp-content/uploads/photo-gallery/morena%20baccarin/thumb/
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/akismet/_inc/akismet-frontend.js?ver=1749668038
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.0.6
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.0.6
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/cookie-law-info/legacy/public/js/cookie-law-info-public.js?ver=3.2.10
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/fancy-box/jquery.easing.js?ver=1.3
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/fancy-box/jquery.fancybox.js?ver=1.2.6
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/super-socializer/js/front/facebook/sdk.js?ver=7.14.3
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/super-socializer/js/front/sharing/sharing.js?ver=7.14.3
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/super-socializer/js/front/social_login/general.js?ver=7.14.3
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/table-of-contents-plus/front.min.js?ver=2411.1
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/yet-another-stars-rating/includes/js/shortcodes/overall-multiset.js?ver=3.4.15
100.30.255.46,1679753006,4,14618,386,/wp-content/plugins/yet-another-stars-rating/includes/js/yasr-globals.js?ver=3.4.15
100.30.255.46,1679753006,4,14618,386,/wp-content/themes/rethink/js/custom.js?ver=6.8.3
100.30.255.46,1679753006,4,14618,386,/wp-content/themes/rethink/js/mobile-menu.js?ver=6.8.3
100.30.255.46,1679753006,4,14618,386,/wp-content/themes/rethink/js/superfish.js?ver=6.8.3
100.42.181.200,1680520648,4,51167,9992,/marche-fotocamere/reflex-sony/sony-alpha-68k/attachment/sony-%C3%8E%C2%B168-fotocamera-reflex/
100.42.182.184,1680520888,4,51167,13796,/wp-login.php
100.42.182.184,1680520888,4,51167,6017,/xmlrpc.php
100.42.191.181,1680523189,4,51167,7951,/wp-admin/
100.42.191.181,1680523189,4,51167,7951,//wp-login.php
100.42.191.181,1680523189,4,51167,7951,/wp-login.php
100.42.191.181,1680523189,4,51167,7951,/wp-login.php?redirect_to=https%3A%2F%2Feconomia.gnius.it%2Fwp-admin%2F&reauth=1
100.42.230.27,1680533019,4,54288,1077,/xmlrpc.php
100.42.230.27,1680533019,4,54288,10897,/xmlrpc.php
100.42.230.27,1680533019,4,54288,12835,/xmlrpc.php
100.42.230.27,1680533019,4,54288,3081,/xmlrpc.php
100.42.230.27,1680533019,4,54288,6014,/xmlrpc.php
100.42.230.27,1680533019,4,54288,6016,/xmlrpc.php
100.42.230.27,1680533019,4,54288,6017,/xmlrpc.php
100.42.230.27,1680533019,4,54288,9925,/xmlrpc.php
101.0.118.3,1694529027,4,55803,13796,/wp-login.php
101.0.72.246,1694517494,4,55803,13796,/wp-login.php
101.0.72.246,1694517494,4,55803,13801,/wp-login.php
101.0.72.246,1694517494,4,55803,13823,/xmlrpc.php
101.0.72.246,1694517494,4,55803,14798,/wp-login.php
101.0.72.246,1694517494,4,55803,4122,/wp-login.php
101.0.72.246,1694517494,4,55803,4128,/wp-login.php
101.0.72.246,1694517494,4,55803,6017,/xmlrpc.php
101.0.72.246,1694517494,4,55803,9976,/wp-login.php
101.0.72.246,1694517494,4,55803,9977,/xmlrpc.php
101.100.194.71,1701102151,4,38719,10951,/wp-login.php
101.100.194.71,1701102151,4,38719,1167,/wp-login.php
101.100.194.71,1701102151,4,38719,11897,/wp-login.php
101.100.194.71,1701102151,4,38719,11898,/wp-login.php
101.100.194.71,1701102151,4,38719,11918,/xmlrpc.php
101.100.194.71,1701102151,4,38719,1197,/xmlrpc.php
101.100.194.71,1701102151,4,38719,1201,/xmlrpc.php
101.100.194.71,1701102151,4,38719,12075,/author-sitemap.xml
101.100.194.71,1701102151,4,38719,12863,/xmlrpc.php
101.100.194.71,1701102151,4,38719,12891,/xmlrpc.php
101.100.194.71,1701102151,4,38719,12899,/wp-login.php
101.100.194.71,1701102151,4,38719,12917,/wp-login.php
101.100.194.71,1701102151,4,38719,13796,/wp-login.php
101.100.194.71,1701102151,4,38719,13801,/wp-login.php
101.100.194.71,1701102151,4,38719,13842,/wp-login.php
101.100.194.71,1701102151,4,38719,139,/wp-login.php
101.100.194.71,1701102151,4,38719,14797,/xmlrpc.php
101.100.194.71,1701102151,4,38719,14800,/xmlrpc.php
101.100.194.71,1701102151,4,38719,3084,/xmlrpc.php
101.100.194.71,1701102151,4,38719,4048,/wp-login.php
101.100.194.71,1701102151,4,38719,4106,/xmlrpc.php
101.100.194.71,1701102151,4,38719,4112,/wp-login.php
101.100.194.71,1701102151,4,38719,4120,/xmlrpc.php
101.100.194.71,1701102151,4,38719,5099,/xmlrpc.php
101.100.194.71,1701102151,4,38719,5121,/xmlrpc.php
101.100.194.71,1701102151,4,38719,5144,/wp-login.php
101.100.194.71,1701102151,4,38719,5145,/wp-login.php
